"id";"id_subj";"time";"session";"id_grp";"grp";"round";"period";"sig";"links";"choice";"hist";"active"
"1";"8";"0";"1";"23";"1";"1";"1";"2";"[15,21,22,24,25]";"0";"0";"1"
"2";"20";"0";"1";"31";"1";"1";"1";"1";"[32,33,34,35]";"0";"0";"1"
"3";"2";"0";"1";"27";"1";"1";"1";"1";"[26,28,29,30]";"0";"0";"1"
"4";"15";"0";"1";"38";"1";"1";"1";"1";"[4,36,39,40]";"0";"0";"1"
"5";"31";"0";"1";"2";"1";"1";"1";"1";"[1,3,4,5,19]";"0";"0";"1"
"6";"25";"0";"1";"22";"1";"1";"1";"1";"[1,21,23,24]";"0";"0";"1"
"7";"39";"0";"1";"30";"1";"1";"1";"1";"[15,26,27]";"0";"0";"1"
"8";"24";"0";"1";"8";"1";"1";"1";"1";"[4,6,7,9]";"0";"0";"1"
"9";"9";"0";"1";"28";"1";"1";"1";"1";"[26,27,29]";"0";"0";"1"
"10";"4";"0";"1";"37";"1";"1";"1";"2";"[36,39,40]";"0";"0";"1"
"11";"17";"0";"1";"13";"1";"1";"1";"1";"[11,12,14,15]";"0";"0";"1"
"12";"38";"0";"1";"7";"1";"1";"1";"1";"[6,8,9,33]";"0";"0";"1"
"13";"37";"0";"1";"19";"1";"1";"1";"1";"[2,9,16,17,18,20]";"0";"0";"1"
"14";"28";"0";"1";"11";"1";"1";"1";"1";"[12,13,14,15]";"0";"0";"1"
"15";"5";"0";"1";"1";"1";"1";"1";"2";"[2,3,4,5,22]";"0";"0";"1"
"16";"18";"0";"1";"18";"1";"1";"1";"2";"[5,16,17,19,20]";"0";"0";"1"
"17";"32";"0";"1";"9";"1";"1";"1";"2";"[6,7,8,10,19,36]";"0";"0";"1"
"18";"19";"0";"1";"12";"1";"1";"1";"1";"[11,13,14,15]";"0";"0";"1"
"19";"3";"0";"1";"16";"1";"1";"1";"2";"[17,18,19,20]";"0";"0";"1"
"20";"14";"0";"1";"35";"1";"1";"1";"1";"[31,32,33]";"0";"0";"1"
"21";"26";"0";"1";"29";"1";"1";"1";"1";"[26,27,28]";"0";"0";"1"
"22";"40";"0";"1";"34";"1";"1";"1";"2";"[31,32]";"0";"0";"1"
"23";"22";"0";"1";"15";"1";"1";"1";"2";"[11,12,13,14,23,30]";"0";"0";"1"
"24";"27";"0";"1";"33";"1";"1";"1";"1";"[7,31,32,35]";"0";"0";"1"
"25";"12";"0";"1";"36";"1";"1";"1";"1";"[9,37,38,40]";"0";"0";"1"
"26";"6";"0";"1";"32";"1";"1";"1";"1";"[17,31,33,34,35]";"0";"0";"1"
"27";"30";"0";"1";"39";"1";"1";"1";"1";"[37,38,40]";"0";"0";"1"
"28";"7";"0";"1";"5";"1";"1";"1";"2";"[1,2,4,18]";"0";"0";"1"
"29";"36";"0";"1";"4";"1";"1";"1";"1";"[1,2,5,8,26,38]";"0";"0";"1"
"30";"11";"0";"1";"20";"1";"1";"1";"1";"[16,17,18,19]";"0";"0";"1"
"31";"23";"0";"1";"21";"1";"1";"1";"2";"[22,23,24,25]";"0";"0";"1"
"32";"21";"0";"1";"25";"1";"1";"1";"1";"[21,23,24]";"0";"0";"1"
"33";"29";"0";"1";"3";"1";"1";"1";"1";"[1,2]";"0";"0";"1"
"34";"13";"0";"1";"26";"1";"1";"1";"1";"[4,27,28,29,30]";"0";"0";"1"
"35";"35";"0";"1";"14";"1";"1";"1";"1";"[11,12,13,15]";"0";"0";"1"
"36";"1";"0";"1";"24";"1";"1";"1";"1";"[21,22,23,25]";"0";"0";"1"
"37";"16";"0";"1";"10";"1";"1";"1";"1";"[9]";"0";"0";"1"
"38";"33";"0";"1";"40";"1";"1";"1";"1";"[36,37,38,39]";"0";"0";"1"
"39";"10";"0";"1";"17";"1";"1";"1";"1";"[16,18,19,20,32]";"0";"0";"1"
"40";"34";"0";"1";"6";"1";"1";"1";"1";"[7,8,9]";"0";"0";"1"
"41";"23";"6";"1";"21";"1";"1";"1";"2";"[22,23,24,25]";"1";"0";"1"
"42";"15";"6";"1";"38";"1";"1";"1";"1";"[4,36,39,40]";"1";"0";"1"
"43";"35";"7";"1";"14";"1";"1";"1";"1";"[11,12,13,15]";"1";"0";"1"
"44";"23";"7";"1";"21";"1";"1";"1";"2";"[22,23,24,25]";"1";"0";"1"
"45";"11";"7";"1";"20";"1";"1";"1";"1";"[16,17,18,19]";"1";"0";"1"
"46";"17";"7";"1";"13";"1";"1";"1";"1";"[11,12,14,15]";"1";"0";"1"
"47";"15";"7";"1";"38";"1";"1";"1";"1";"[4,36,39,40]";"1";"0";"1"
"48";"28";"7";"1";"11";"1";"1";"1";"1";"[12,13,14,15]";"1";"0";"1"
"49";"38";"7";"1";"7";"1";"1";"1";"1";"[6,8,9,33]";"1";"0";"1"
"50";"35";"8";"1";"14";"1";"1";"1";"1";"[11,12,13,15]";"1";"0";"1"
"51";"5";"8";"1";"1";"1";"1";"1";"2";"[2,3,4,5,22]";"2";"0";"1"
"52";"30";"8";"1";"39";"1";"1";"1";"1";"[37,38,40]";"1";"0";"1"
"53";"11";"8";"1";"20";"1";"1";"1";"1";"[16,17,18,19]";"1";"0";"1"
"54";"17";"8";"1";"13";"1";"1";"1";"1";"[11,12,14,15]";"1";"0";"1"
"55";"28";"8";"1";"11";"1";"1";"1";"1";"[12,13,14,15]";"1";"0";"1"
"56";"38";"8";"1";"7";"1";"1";"1";"1";"[6,8,9,33]";"1";"0";"1"
"57";"5";"9";"1";"1";"1";"1";"1";"2";"[2,3,4,5,22]";"2";"0";"1"
"58";"30";"9";"1";"39";"1";"1";"1";"1";"[37,38,40]";"1";"0";"1"
"59";"12";"9";"1";"36";"1";"1";"1";"1";"[9,37,38,40]";"1";"0";"1"
"60";"14";"9";"1";"35";"1";"1";"1";"1";"[31,32,33]";"1";"0";"1"
"61";"36";"9";"1";"4";"1";"1";"1";"1";"[1,2,5,8,26,38]";"1";"0";"1"
"62";"12";"10";"1";"36";"1";"1";"1";"1";"[9,37,38,40]";"1";"0";"1"
"63";"14";"10";"1";"35";"1";"1";"1";"1";"[31,32,33]";"1";"0";"1"
"64";"36";"10";"1";"4";"1";"1";"1";"1";"[1,2,5,8,26,38]";"1";"0";"1"
"65";"10";"10";"1";"17";"1";"1";"1";"1";"[16,18,19,20,32]";"1";"0";"1"
"66";"4";"11";"1";"37";"1";"1";"1";"2";"[36,39,40]";"2";"0";"1"
"67";"40";"11";"1";"34";"1";"1";"1";"2";"[31,32]";"2";"0";"1"
"68";"10";"11";"1";"17";"1";"1";"1";"1";"[16,18,19,20,32]";"1";"0";"1"
"69";"26";"12";"1";"29";"1";"1";"1";"1";"[26,27,28]";"1";"0";"1"
"70";"19";"12";"1";"12";"1";"1";"1";"1";"[11,13,14,15]";"1";"0";"1"
"71";"25";"12";"1";"22";"1";"1";"1";"1";"[1,21,23,24]";"1";"0";"1"
"72";"4";"12";"1";"37";"1";"1";"1";"2";"[36,39,40]";"2";"0";"1"
"73";"29";"12";"1";"3";"1";"1";"1";"1";"[1,2]";"1";"0";"1"
"74";"40";"12";"1";"34";"1";"1";"1";"2";"[31,32]";"2";"0";"1"
"75";"26";"13";"1";"29";"1";"1";"1";"1";"[26,27,28]";"1";"0";"1"
"76";"19";"13";"1";"12";"1";"1";"1";"1";"[11,13,14,15]";"1";"0";"1"
"77";"25";"13";"1";"22";"1";"1";"1";"1";"[1,21,23,24]";"1";"0";"1"
"78";"21";"13";"1";"25";"1";"1";"1";"1";"[21,23,24]";"1";"0";"1"
"79";"6";"13";"1";"32";"1";"1";"1";"1";"[17,31,33,34,35]";"1";"0";"1"
"80";"7";"13";"1";"5";"1";"1";"1";"2";"[1,2,4,18]";"2";"0";"1"
"81";"29";"13";"1";"3";"1";"1";"1";"1";"[1,2]";"1";"0";"1"
"82";"9";"14";"1";"28";"1";"1";"1";"1";"[26,27,29]";"1";"0";"1"
"83";"2";"14";"1";"27";"1";"1";"1";"1";"[26,28,29,30]";"1";"0";"1"
"84";"27";"14";"1";"33";"1";"1";"1";"1";"[7,31,32,35]";"2";"0";"1"
"85";"21";"14";"1";"25";"1";"1";"1";"1";"[21,23,24]";"1";"0";"1"
"86";"6";"14";"1";"32";"1";"1";"1";"1";"[17,31,33,34,35]";"1";"0";"1"
"87";"18";"14";"1";"18";"1";"1";"1";"2";"[5,16,17,19,20]";"2";"0";"1"
"88";"7";"14";"1";"5";"1";"1";"1";"2";"[1,2,4,18]";"2";"0";"1"
"89";"20";"14";"1";"31";"1";"1";"1";"1";"[32,33,34,35]";"1";"0";"1"
"90";"39";"14";"1";"30";"1";"1";"1";"1";"[15,26,27]";"2";"0";"1"
"91";"9";"15";"1";"28";"1";"1";"1";"1";"[26,27,29]";"1";"0";"1"
"92";"32";"15";"1";"9";"1";"1";"1";"2";"[6,7,8,10,19,36]";"2";"0";"1"
"93";"22";"15";"1";"15";"1";"1";"1";"2";"[11,12,13,14,23,30]";"2";"0";"1"
"94";"2";"15";"1";"27";"1";"1";"1";"1";"[26,28,29,30]";"1";"0";"1"
"95";"24";"15";"1";"8";"1";"1";"1";"1";"[4,6,7,9]";"2";"0";"1"
"96";"27";"15";"1";"33";"1";"1";"1";"1";"[7,31,32,35]";"2";"0";"1"
"97";"18";"15";"1";"18";"1";"1";"1";"2";"[5,16,17,19,20]";"2";"0";"1"
"98";"20";"15";"1";"31";"1";"1";"1";"1";"[32,33,34,35]";"1";"0";"1"
"99";"39";"15";"1";"30";"1";"1";"1";"1";"[15,26,27]";"2";"0";"1"
"100";"8";"16";"1";"23";"1";"1";"1";"2";"[15,21,22,24,25]";"2";"0";"1"
"101";"32";"16";"1";"9";"1";"1";"1";"2";"[6,7,8,10,19,36]";"2";"0";"1"
"102";"22";"16";"1";"15";"1";"1";"1";"2";"[11,12,13,14,23,30]";"2";"0";"1"
"103";"24";"16";"1";"8";"1";"1";"1";"1";"[4,6,7,9]";"2";"0";"1"
"104";"13";"16";"1";"26";"1";"1";"1";"1";"[4,27,28,29,30]";"2";"0";"1"
"105";"8";"17";"1";"23";"1";"1";"1";"2";"[15,21,22,24,25]";"2";"0";"1"
"106";"3";"17";"1";"16";"1";"1";"1";"2";"[17,18,19,20]";"2";"0";"1"
"107";"13";"17";"1";"26";"1";"1";"1";"1";"[4,27,28,29,30]";"2";"0";"1"
"108";"3";"18";"1";"16";"1";"1";"1";"2";"[17,18,19,20]";"2";"0";"1"
"109";"1";"19";"1";"24";"1";"1";"1";"1";"[21,22,23,25]";"1";"0";"1"
"110";"31";"19";"1";"2";"1";"1";"1";"1";"[1,3,4,5,19]";"1";"0";"1"
"111";"1";"20";"1";"24";"1";"1";"1";"1";"[21,22,23,25]";"1";"0";"1"
"112";"31";"20";"1";"2";"1";"1";"1";"1";"[1,3,4,5,19]";"1";"0";"1"
"113";"16";"20";"1";"10";"1";"1";"1";"1";"[9]";"1";"0";"1"
"114";"16";"21";"1";"10";"1";"1";"1";"1";"[9]";"1";"0";"1"
"115";"33";"23";"1";"40";"1";"1";"1";"1";"[36,37,38,39]";"2";"0";"1"
"116";"33";"24";"1";"40";"1";"1";"1";"1";"[36,37,38,39]";"2";"0";"1"
"117";"34";"28";"1";"6";"1";"1";"1";"1";"[7,8,9]";"1";"0";"1"
"118";"34";"29";"1";"6";"1";"1";"1";"1";"[7,8,9]";"1";"0";"1"
"119";"37";"30";"1";"19";"1";"1";"1";"1";"[2,9,16,17,18,20]";"0";"0";"1"
"120";"0";"30";"1";"19";"1";"1";"1";"1";"[2,9,16,17,18,20]";"2";"0";"0"
"121";"23";"3";"1";"21";"1";"1";"2";"2";"[22,23,24,25]";"1";"0";"1"
"122";"17";"4";"1";"13";"1";"1";"2";"1";"[11,12,14,15]";"1";"0";"1"
"123";"23";"4";"1";"21";"1";"1";"2";"2";"[22,23,24,25]";"1";"0";"1"
"124";"17";"5";"1";"13";"1";"1";"2";"1";"[11,12,14,15]";"1";"0";"1"
"125";"15";"6";"1";"38";"1";"1";"2";"1";"[4,36,39,40]";"1";"0";"1"
"126";"15";"7";"1";"38";"1";"1";"2";"1";"[4,36,39,40]";"1";"0";"1"
"127";"6";"7";"1";"32";"1";"1";"2";"1";"[17,31,33,34,35]";"1";"0";"1"
"128";"7";"8";"1";"5";"1";"1";"2";"2";"[1,2,4,18]";"2";"0";"1"
"129";"6";"8";"1";"32";"1";"1";"2";"1";"[17,31,33,34,35]";"1";"0";"1"
"130";"40";"8";"1";"34";"1";"1";"2";"2";"[31,32]";"2";"0";"1"
"131";"11";"8";"1";"20";"1";"1";"2";"1";"[16,17,18,19]";"1";"0";"1"
"132";"38";"8";"1";"7";"1";"1";"2";"1";"[6,8,9,33]";"1";"0";"1"
"133";"7";"9";"1";"5";"1";"1";"2";"2";"[1,2,4,18]";"2";"0";"1"
"134";"28";"9";"1";"11";"1";"1";"2";"1";"[12,13,14,15]";"1";"0";"1"
"135";"39";"9";"1";"30";"1";"1";"2";"1";"[15,26,27]";"2";"0";"1"
"136";"35";"9";"1";"14";"1";"1";"2";"1";"[11,12,13,15]";"1";"0";"1"
"137";"40";"9";"1";"34";"1";"1";"2";"2";"[31,32]";"2";"0";"1"
"138";"11";"9";"1";"20";"1";"1";"2";"1";"[16,17,18,19]";"1";"0";"1"
"139";"38";"9";"1";"7";"1";"1";"2";"1";"[6,8,9,33]";"1";"0";"1"
"140";"29";"10";"1";"3";"1";"1";"2";"1";"[1,2]";"1";"0";"1"
"141";"28";"10";"1";"11";"1";"1";"2";"1";"[12,13,14,15]";"1";"0";"1"
"142";"5";"10";"1";"1";"1";"1";"2";"2";"[2,3,4,5,22]";"1";"0";"1"
"143";"39";"10";"1";"30";"1";"1";"2";"1";"[15,26,27]";"2";"0";"1"
"144";"35";"10";"1";"14";"1";"1";"2";"1";"[11,12,13,15]";"1";"0";"1"
"145";"21";"10";"1";"25";"1";"1";"2";"1";"[21,23,24]";"1";"0";"1"
"146";"2";"10";"1";"27";"1";"1";"2";"1";"[26,28,29,30]";"1";"0";"1"
"147";"26";"10";"1";"29";"1";"1";"2";"1";"[26,27,28]";"1";"0";"1"
"148";"12";"10";"1";"36";"1";"1";"2";"1";"[9,37,38,40]";"2";"0";"1"
"149";"29";"11";"1";"3";"1";"1";"2";"1";"[1,2]";"1";"0";"1"
"150";"5";"11";"1";"1";"1";"1";"2";"2";"[2,3,4,5,22]";"1";"0";"1"
"151";"21";"11";"1";"25";"1";"1";"2";"1";"[21,23,24]";"1";"0";"1"
"152";"2";"11";"1";"27";"1";"1";"2";"1";"[26,28,29,30]";"1";"0";"1"
"153";"26";"11";"1";"29";"1";"1";"2";"1";"[26,27,28]";"1";"0";"1"
"154";"12";"11";"1";"36";"1";"1";"2";"1";"[9,37,38,40]";"2";"0";"1"
"155";"19";"12";"1";"12";"1";"1";"2";"1";"[11,13,14,15]";"1";"0";"1"
"156";"19";"13";"1";"12";"1";"1";"2";"1";"[11,13,14,15]";"1";"0";"1"
"157";"30";"13";"1";"39";"1";"1";"2";"1";"[37,38,40]";"1";"0";"1"
"158";"27";"13";"1";"33";"1";"1";"2";"1";"[7,31,32,35]";"2";"0";"1"
"159";"30";"14";"1";"39";"1";"1";"2";"1";"[37,38,40]";"1";"0";"1"
"160";"36";"14";"1";"4";"1";"1";"2";"1";"[1,2,5,8,26,38]";"2";"0";"1"
"161";"14";"14";"1";"35";"1";"1";"2";"1";"[31,32,33]";"2";"0";"1"
"162";"31";"14";"1";"2";"1";"1";"2";"1";"[1,3,4,5,19]";"1";"0";"1"
"163";"27";"14";"1";"33";"1";"1";"2";"1";"[7,31,32,35]";"2";"0";"1"
"164";"36";"15";"1";"4";"1";"1";"2";"1";"[1,2,5,8,26,38]";"2";"0";"1"
"165";"18";"15";"1";"18";"1";"1";"2";"2";"[5,16,17,19,20]";"2";"0";"1"
"166";"14";"15";"1";"35";"1";"1";"2";"1";"[31,32,33]";"2";"0";"1"
"167";"31";"15";"1";"2";"1";"1";"2";"1";"[1,3,4,5,19]";"1";"0";"1"
"168";"9";"15";"1";"28";"1";"1";"2";"1";"[26,27,29]";"2";"0";"1"
"169";"18";"16";"1";"18";"1";"1";"2";"2";"[5,16,17,19,20]";"2";"0";"1"
"170";"4";"16";"1";"37";"1";"1";"2";"2";"[36,39,40]";"1";"0";"1"
"171";"16";"16";"1";"10";"1";"1";"2";"1";"[9]";"1";"0";"1"
"172";"25";"16";"1";"22";"1";"1";"2";"1";"[1,21,23,24]";"2";"0";"1"
"173";"8";"16";"1";"23";"1";"1";"2";"2";"[15,21,22,24,25]";"2";"0";"1"
"174";"9";"16";"1";"28";"1";"1";"2";"1";"[26,27,29]";"2";"0";"1"
"175";"37";"17";"1";"19";"1";"1";"2";"1";"[2,9,16,17,18,20]";"1";"0";"1"
"176";"4";"17";"1";"37";"1";"1";"2";"2";"[36,39,40]";"1";"0";"1"
"177";"16";"17";"1";"10";"1";"1";"2";"1";"[9]";"1";"0";"1"
"178";"25";"17";"1";"22";"1";"1";"2";"1";"[1,21,23,24]";"2";"0";"1"
"179";"8";"17";"1";"23";"1";"1";"2";"2";"[15,21,22,24,25]";"2";"0";"1"
"180";"13";"17";"1";"26";"1";"1";"2";"1";"[4,27,28,29,30]";"1";"0";"1"
"181";"34";"17";"1";"6";"1";"1";"2";"1";"[7,8,9]";"1";"0";"1"
"182";"37";"18";"1";"19";"1";"1";"2";"1";"[2,9,16,17,18,20]";"1";"0";"1"
"183";"13";"18";"1";"26";"1";"1";"2";"1";"[4,27,28,29,30]";"1";"0";"1"
"184";"34";"18";"1";"6";"1";"1";"2";"1";"[7,8,9]";"1";"0";"1"
"185";"22";"20";"1";"15";"1";"1";"2";"2";"[11,12,13,14,23,30]";"2";"0";"1"
"186";"20";"20";"1";"31";"1";"1";"2";"1";"[32,33,34,35]";"1";"0";"1"
"187";"1";"21";"1";"24";"1";"1";"2";"1";"[21,22,23,25]";"1";"0";"1"
"188";"3";"21";"1";"16";"1";"1";"2";"2";"[17,18,19,20]";"2";"0";"1"
"189";"33";"21";"1";"40";"1";"1";"2";"1";"[36,37,38,39]";"2";"0";"1"
"190";"32";"21";"1";"9";"1";"1";"2";"2";"[6,7,8,10,19,36]";"2";"0";"1"
"191";"22";"21";"1";"15";"1";"1";"2";"2";"[11,12,13,14,23,30]";"2";"0";"1"
"192";"20";"21";"1";"31";"1";"1";"2";"1";"[32,33,34,35]";"1";"0";"1"
"193";"24";"22";"1";"8";"1";"1";"2";"1";"[4,6,7,9]";"2";"0";"1"
"194";"1";"22";"1";"24";"1";"1";"2";"1";"[21,22,23,25]";"1";"0";"1"
"195";"3";"22";"1";"16";"1";"1";"2";"2";"[17,18,19,20]";"2";"0";"1"
"196";"33";"22";"1";"40";"1";"1";"2";"1";"[36,37,38,39]";"2";"0";"1"
"197";"32";"22";"1";"9";"1";"1";"2";"2";"[6,7,8,10,19,36]";"2";"0";"1"
"198";"10";"22";"1";"17";"1";"1";"2";"1";"[16,18,19,20,32]";"1";"0";"1"
"199";"24";"23";"1";"8";"1";"1";"2";"1";"[4,6,7,9]";"2";"0";"1"
"200";"10";"23";"1";"17";"1";"1";"2";"1";"[16,18,19,20,32]";"1";"0";"1"
"201";"17";"2";"1";"13";"1";"1";"3";"1";"[11,12,14,15]";"1";"0";"1"
"202";"23";"3";"1";"21";"1";"1";"3";"2";"[22,23,24,25]";"1";"0";"1"
"203";"17";"3";"1";"13";"1";"1";"3";"1";"[11,12,14,15]";"1";"0";"1"
"204";"23";"4";"1";"21";"1";"1";"3";"2";"[22,23,24,25]";"1";"0";"1"
"205";"7";"4";"1";"5";"1";"1";"3";"2";"[1,2,4,18]";"2";"0";"1"
"206";"1";"5";"1";"24";"1";"1";"3";"1";"[21,22,23,25]";"0";"1";"1"
"207";"7";"5";"1";"5";"1";"1";"3";"2";"[1,2,4,18]";"2";"0";"1"
"208";"9";"6";"1";"28";"1";"1";"3";"1";"[26,27,29]";"1";"0";"1"
"209";"6";"6";"1";"32";"1";"1";"3";"1";"[17,31,33,34,35]";"1";"0";"1"
"210";"24";"6";"1";"8";"1";"1";"3";"1";"[4,6,7,9]";"2";"0";"1"
"211";"27";"6";"1";"33";"1";"1";"3";"1";"[7,31,32,35]";"1";"0";"1"
"212";"1";"7";"1";"24";"1";"1";"3";"1";"[21,22,23,25]";"0";"2";"1"
"213";"14";"7";"1";"35";"1";"1";"3";"1";"[31,32,33]";"1";"0";"1"
"214";"9";"7";"1";"28";"1";"1";"3";"1";"[26,27,29]";"1";"0";"1"
"215";"19";"7";"1";"12";"1";"1";"3";"1";"[11,13,14,15]";"1";"0";"1"
"216";"31";"7";"1";"2";"1";"1";"3";"1";"[1,3,4,5,19]";"1";"0";"1"
"217";"11";"7";"1";"20";"1";"1";"3";"1";"[16,17,18,19]";"1";"0";"1"
"218";"6";"7";"1";"32";"1";"1";"3";"1";"[17,31,33,34,35]";"1";"0";"1"
"219";"24";"7";"1";"8";"1";"1";"3";"1";"[4,6,7,9]";"2";"0";"1"
"220";"27";"7";"1";"33";"1";"1";"3";"1";"[7,31,32,35]";"1";"0";"1"
"221";"5";"8";"1";"1";"1";"1";"3";"2";"[2,3,4,5,22]";"0";"1";"1"
"222";"14";"8";"1";"35";"1";"1";"3";"1";"[31,32,33]";"1";"0";"1"
"223";"19";"8";"1";"12";"1";"1";"3";"1";"[11,13,14,15]";"1";"0";"1"
"224";"8";"8";"1";"23";"1";"1";"3";"2";"[15,21,22,24,25]";"2";"0";"1"
"225";"31";"8";"1";"2";"1";"1";"3";"1";"[1,3,4,5,19]";"1";"0";"1"
"226";"38";"8";"1";"7";"1";"1";"3";"1";"[6,8,9,33]";"1";"0";"1"
"227";"11";"8";"1";"20";"1";"1";"3";"1";"[16,17,18,19]";"1";"0";"1"
"228";"22";"8";"1";"15";"1";"1";"3";"2";"[11,12,13,14,23,30]";"1";"0";"1"
"229";"28";"8";"1";"11";"1";"1";"3";"1";"[12,13,14,15]";"1";"0";"1"
"230";"15";"9";"1";"38";"1";"1";"3";"1";"[4,36,39,40]";"1";"0";"1"
"231";"4";"9";"1";"37";"1";"1";"3";"2";"[36,39,40]";"2";"0";"1"
"232";"8";"9";"1";"23";"1";"1";"3";"2";"[15,21,22,24,25]";"2";"0";"1"
"233";"5";"9";"1";"1";"1";"1";"3";"2";"[2,3,4,5,22]";"0";"2";"1"
"234";"38";"9";"1";"7";"1";"1";"3";"1";"[6,8,9,33]";"1";"0";"1"
"235";"22";"9";"1";"15";"1";"1";"3";"2";"[11,12,13,14,23,30]";"1";"0";"1"
"236";"28";"9";"1";"11";"1";"1";"3";"1";"[12,13,14,15]";"1";"0";"1"
"237";"35";"10";"1";"14";"1";"1";"3";"1";"[11,12,13,15]";"1";"0";"1"
"238";"15";"10";"1";"38";"1";"1";"3";"1";"[4,36,39,40]";"1";"0";"1"
"239";"4";"10";"1";"37";"1";"1";"3";"2";"[36,39,40]";"2";"0";"1"
"240";"2";"10";"1";"27";"1";"1";"3";"1";"[26,28,29,30]";"0";"1";"1"
"241";"5";"10";"1";"1";"1";"1";"3";"2";"[2,3,4,5,22]";"0";"1";"1"
"242";"35";"11";"1";"14";"1";"1";"3";"1";"[11,12,13,15]";"1";"0";"1"
"243";"39";"11";"1";"30";"1";"1";"3";"1";"[15,26,27]";"2";"0";"1"
"244";"20";"11";"1";"31";"1";"1";"3";"1";"[32,33,34,35]";"2";"0";"1"
"245";"36";"11";"1";"4";"1";"1";"3";"1";"[1,2,5,8,26,38]";"1";"0";"1"
"246";"29";"11";"1";"3";"1";"1";"3";"1";"[1,2]";"1";"0";"1"
"247";"30";"11";"1";"39";"1";"1";"3";"1";"[37,38,40]";"1";"0";"1"
"248";"10";"12";"1";"17";"1";"1";"3";"1";"[16,18,19,20,32]";"1";"0";"1"
"249";"39";"12";"1";"30";"1";"1";"3";"1";"[15,26,27]";"2";"0";"1"
"250";"20";"12";"1";"31";"1";"1";"3";"1";"[32,33,34,35]";"2";"0";"1"
"251";"32";"12";"1";"9";"1";"1";"3";"2";"[6,7,8,10,19,36]";"1";"0";"1"
"252";"5";"12";"1";"1";"1";"1";"3";"2";"[2,3,4,5,22]";"0";"2";"1"
"253";"36";"12";"1";"4";"1";"1";"3";"1";"[1,2,5,8,26,38]";"1";"0";"1"
"254";"29";"12";"1";"3";"1";"1";"3";"1";"[1,2]";"1";"0";"1"
"255";"21";"12";"1";"25";"1";"1";"3";"1";"[21,23,24]";"1";"0";"1"
"256";"30";"12";"1";"39";"1";"1";"3";"1";"[37,38,40]";"1";"0";"1"
"257";"16";"13";"1";"10";"1";"1";"3";"1";"[9]";"1";"0";"1"
"258";"10";"13";"1";"17";"1";"1";"3";"1";"[16,18,19,20,32]";"1";"0";"1"
"259";"32";"13";"1";"9";"1";"1";"3";"2";"[6,7,8,10,19,36]";"1";"0";"1"
"260";"26";"13";"1";"29";"1";"1";"3";"1";"[26,27,28]";"1";"0";"1"
"261";"25";"13";"1";"22";"1";"1";"3";"1";"[1,21,23,24]";"1";"0";"1"
"262";"3";"13";"1";"16";"1";"1";"3";"2";"[17,18,19,20]";"2";"0";"1"
"263";"21";"13";"1";"25";"1";"1";"3";"1";"[21,23,24]";"1";"0";"1"
"264";"40";"13";"1";"34";"1";"1";"3";"2";"[31,32]";"2";"0";"1"
"265";"2";"13";"1";"27";"1";"1";"3";"1";"[26,28,29,30]";"0";"2";"1"
"266";"16";"14";"1";"10";"1";"1";"3";"1";"[9]";"1";"0";"1"
"267";"5";"14";"1";"1";"1";"1";"3";"2";"[2,3,4,5,22]";"0";"1";"1"
"268";"26";"14";"1";"29";"1";"1";"3";"1";"[26,27,28]";"1";"0";"1"
"269";"25";"14";"1";"22";"1";"1";"3";"1";"[1,21,23,24]";"1";"0";"1"
"270";"3";"14";"1";"16";"1";"1";"3";"2";"[17,18,19,20]";"2";"0";"1"
"271";"36";"14";"1";"4";"1";"1";"3";"1";"[1,2,5,8,26,38]";"1";"1";"1"
"272";"40";"14";"1";"34";"1";"1";"3";"2";"[31,32]";"2";"0";"1"
"273";"2";"15";"1";"27";"1";"1";"3";"1";"[26,28,29,30]";"0";"1";"1"
"274";"36";"16";"1";"4";"1";"1";"3";"1";"[1,2,5,8,26,38]";"1";"2";"1"
"275";"12";"16";"1";"36";"1";"1";"3";"1";"[9,37,38,40]";"2";"0";"1"
"276";"13";"16";"1";"26";"1";"1";"3";"1";"[4,27,28,29,30]";"1";"0";"1"
"277";"12";"17";"1";"36";"1";"1";"3";"1";"[9,37,38,40]";"2";"0";"1"
"278";"5";"17";"1";"1";"1";"1";"3";"2";"[2,3,4,5,22]";"0";"2";"1"
"279";"33";"17";"1";"40";"1";"1";"3";"1";"[36,37,38,39]";"1";"0";"1"
"280";"13";"17";"1";"26";"1";"1";"3";"1";"[4,27,28,29,30]";"1";"0";"1"
"281";"37";"17";"1";"19";"1";"1";"3";"1";"[2,9,16,17,18,20]";"1";"0";"1"
"282";"18";"18";"1";"18";"1";"1";"3";"2";"[5,16,17,19,20]";"1";"0";"1"
"283";"33";"18";"1";"40";"1";"1";"3";"1";"[36,37,38,39]";"1";"0";"1"
"284";"37";"18";"1";"19";"1";"1";"3";"1";"[2,9,16,17,18,20]";"1";"0";"1"
"285";"18";"19";"1";"18";"1";"1";"3";"2";"[5,16,17,19,20]";"1";"0";"1"
"286";"1";"19";"1";"24";"1";"1";"3";"1";"[21,22,23,25]";"1";"2";"1"
"287";"1";"20";"1";"24";"1";"1";"3";"1";"[21,22,23,25]";"1";"2";"1"
"288";"2";"21";"1";"27";"1";"1";"3";"1";"[26,28,29,30]";"0";"2";"1"
"289";"2";"24";"1";"27";"1";"1";"3";"1";"[26,28,29,30]";"1";"2";"1"
"290";"2";"25";"1";"27";"1";"1";"3";"1";"[26,28,29,30]";"1";"2";"1"
